Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Side_is_left,Label
161.0422181190752,176.936397618463,13.23893619534736,136.2903141769002,145.08198557698492,90.0,90.0,90.0,90.0,90.0,1,Push Ups
21.69435073319413,21.50919831320677,176.06445494957353,179.347955649789,179.7768147808581,90.0,90.0,90.0,-90.0,-90.0,1,Squats
144.34407928941303,158.46055292002382,174.29019612271009,173.87610187482966,179.74277944911262,90.0,90.0,90.0,90.0,90.0,1,Squats
17.387882725267975,164.29225803595543,0.5589638252320224,23.800446366908105,24.645663637448443,90.0,90.0,90.0,90.0,90.0,1,Pull ups
14.770454927470976,62.60162343623535,53.00474257487394,89.57502345766919,126.91831489385837,90.0,90.0,90.0,90.0,90.0,1,Russian twists
90.65786757881996,176.01684265867303,176.41000727316538,178.9632946993703,88.85203237713557,90.0,90.0,90.0,90.0,90.0,1,No Exercise
2.70933396500485,61.61804702488211,56.56072045537029,83.59464875808754,132.32926908620937,90.0,90.0,90.0,90.0,90.0,1,Russian twists
81.23288183524392,179.66823408832866,170.1527005762273,170.7215609491311,85.58548995489244,90.0,90.0,90.0,90.0,90.0,1,No Exercise
167.14036582115068,170.62160580048166,15.26235204455016,154.64524520283658,162.61175677017528,90.0,90.0,90.0,90.0,90.0,1,Push Ups
46.79888784380934,159.92390937723445,161.8274277641802,174.5127710838826,97.997843768219,90.0,90.0,90.0,90.0,90.0,1,Push Ups
39.3324966347676,29.81120856059244,175.63736431420534,176.61826453575208,175.83559979366856,90.0,90.0,90.0,90.0,-90.0,1,Pull ups
81.48292164319538,176.9661778599418,176.57747672003478,175.76505621248822,94.84714110303524,90.0,90.0,90.0,90.0,90.0,1,No Exercise
6.199058923955867,16.75269243828294,95.29426553577206,91.05255699321094,172.595045369379,90.0,90.0,90.0,90.0,90.0,1,Squats
